,link,name,price,mrp_price,color
0,https://www.nike.com/in/t/air-max-dawn-shoe-VbDN84/DM0013-400,Nike Air Max Dawn,10 257.00,₹ 10 795.00,1 Colour
1,https://www.nike.com/in/t/waffle-debut-shoes-Q1dcd5/DX2943-100,Nike Waffle Debut,5 977.00,₹ 6 295.00,1 Colour
2,https://www.nike.com/in/t/air-max-alpha-trainer-5-training-shoes-x8Jzj6/DM0829-300,Nike Air Max Alpha Trainer 5,7 117.00,₹ 7 495.00,1 Colour
3,https://www.nike.com/in/t/air-max-90-se-shoes-3wp3v6/DX3276-133,Nike Air Max 90 SE,11 297.00,₹ 11 895.00,1 Colour
4,https://www.nike.com/in/t/nikecourt-legacy-shoes-NRc9Qb/DX3175-001,NikeCourt Legacy,5 977.00,₹ 6 295.00,1 Colour
5,https://www.nike.com/in/t/victori-one-printed-slide-2ZsMWk/CN9678-011,Nike Victori One,2 467.00,₹ 2 595.00,1 Colour
6,https://www.nike.com/in/t/jordan-delta-3-low-shoes-fQrm6Q/DN2647-651,Jordan Delta 3 Low,12 157.00,₹ 12 795.00,2 Colours
7,https://www.nike.com/in/t/air-pegasus-83-prm-shoes-NZhNJl/DV0432-001,Nike Air Pegasus 83 PRM,8 257.00,₹ 8 695.00,2 Colours
8,https://www.nike.com/in/t/air-force-1-mid-07-lx-shoes-HGRp5C/DX2938-200,Nike Air Force 1 Mid '07 LX,11 297.00,₹ 11 895.00,1 Colour
9,https://www.nike.com/in/t/air-kukini-shoes-nT8GrX/DV0659-201,Nike Air Kukini,11 297.00,₹ 11 895.00,2 Colours
10,https://www.nike.com/in/t/pegasus-turbo-next-nature-road-running-shoes-MSSVMK/DM3413-002,Nike Pegasus Turbo Next Nature,13 297.00,₹ 13 995.00,1 Colour
11,https://www.nike.com/in/t/air-force-1-mid-07-lx-shoes-nCq9WX/DQ8766-001,Nike Air Force 1 Mid '07 LX,11 297.00,₹ 11 895.00,1 Colour
12,https://www.nike.com/in/t/waffle-one-se-shoes-wtgBSd/DX3282-133,Nike Waffle One SE,9 207.00,₹ 9 695.00,1 Colour
13,https://www.nike.com/in/t/metcon-8-training-shoes-p9rQzn/DO9328-300,Nike Metcon 8,11 297.00,₹ 11 895.00,2 Colours
14,https://www.nike.com/in/t/air-jordan-1-mid-se-shoes-hHltxp/DN4904-001,Air Jordan 1 Mid SE,9 777.00,₹ 10 295.00,1 Colour
15,https://www.nike.com/in/t/streakfly-road-racing-shoes-V17qZm/DJ6566-100,Nike Streakfly,14 247.00,₹ 14 995.00,1 Colour
16,https://www.nike.com/in/t/acg-air-mada-shoes-N69XZS/DQ5499-200,Nike ACG Air Mada,11 297.00,₹ 11 895.00,2 Colours
17,https://www.nike.com/in/t/acronym-blazer-low-shoes-CgxHLR/DN2067-600,Nike x ACRONYM® Blazer Low,11 867.00,₹ 12 495.00,1 Colour
18,https://www.nike.com/in/t/acg-lowcate-shoes-HjWrQ6/DM8019-001,Nike ACG Lowcate,9 207.00,₹ 9 695.00,3 Colours
19,https://www.nike.com/in/t/air-kukini-se-shoes-mGmph3/DV1894-100,Nike Air Kukini SE,12 157.00,₹ 12 795.00,1 Colour
20,https://www.nike.com/in/t/jordan-air-200e-shoes-RJ2RrL/DC9836-808,Jordan Air 200E,11 397.00,₹ 11 995.00,4 Colours
21,https://www.nike.com/in/t/zoom-mercurial-superfly-9-elite-km-fg-football-boot-RbvQKW/DO9342-694,Nike Zoom Mercurial Superfly 9 Elite KM FG,22 797.00,₹ 23 995.00,1 Colour
22,https://www.nike.com/in/t/vaporfly-next-2-road-racing-shoes-D4ntS0/CU4111-001,Nike Vaporfly NEXT% 2,18 707.00,₹ 19 695.00,1 Colour
23,https://www.nike.com/in/t/air-jordan-xxxvi-low-luka-pf-basketball-shoes-zNLHjc/DN4195-430,Air Jordan XXXVI Low Luka PF,15 477.00,₹ 16 295.00,1 Colour
24,https://www.nike.com/in/t/acg-air-mada-shoes-fNjmJd/DM3004-002,Nike ACG Air Mada,12 347.00,₹ 12 995.00,3 Colours
